per-strategy cap (bps),Agent 1: rule-based,Agent 2: mean-variance,Agent 3: unconstrained,Agents 2 and 3: self-constrained,uniformly random allocator
4700,100.0,100.0,100.0,100.0,100.0
4725,100.0,100.0,100.0,100.0,100.0
4750,100.0,100.0,100.0,100.0,100.0
4775,100.0,100.0,100.0,100.0,100.0
4800,100.0,100.0,100.0,100.0,100.0
4825,100.0,100.0,100.0,100.0,100.0
4850,100.0,100.0,100.0,100.0,100.0
4875,100.0,100.0,100.0,100.0,100.0
4900,100.0,100.0,100.0,100.0,100.0
4925,100.0,100.0,100.0,100.0,100.0
4950,100.0,100.0,100.0,100.0,100.0
4975,100.0,100.0,100.0,100.0,100.0
5000,100.0,100.0,100.0,100.0,100.0
5025,99.26,100.0,100.0,100.0,99.5
5050,97.79,100.0,100.0,100.0,99.0
5075,97.79,100.0,100.0,100.0,98.5
5100,97.79,100.0,100.0,100.0,98.0
5125,97.06,100.0,100.0,100.0,97.5
5150,95.59,100.0,100.0,100.0,97.0
5175,92.65,100.0,100.0,100.0,96.5
5200,91.91,100.0,100.0,100.0,96.0
5225,91.18,100.0,100.0,100.0,95.5
5250,91.18,100.0,100.0,100.0,95.0
5275,89.71,100.0,100.0,100.0,94.5
5300,87.5,100.0,100.0,100.0,94.0
5325,84.56,100.0,100.0,100.0,93.5
5350,83.09,100.0,100.0,100.0,93.0
5375,80.88,100.0,100.0,100.0,92.5
5400,80.15,100.0,100.0,100.0,92.0
5425,77.21,100.0,100.0,100.0,91.5
5450,75.0,100.0,100.0,100.0,91.0
5475,72.79,100.0,100.0,100.0,90.5
5500,70.59,100.0,100.0,100.0,90.0
5525,69.85,100.0,100.0,100.0,89.5
5550,68.38,100.0,100.0,100.0,89.0
5575,64.71,100.0,100.0,100.0,88.5
5600,62.5,100.0,100.0,100.0,88.0
5625,62.5,100.0,100.0,100.0,87.5
5650,59.56,100.0,100.0,100.0,87.0
5675,55.88,100.0,100.0,100.0,86.5
5700,52.94,100.0,100.0,100.0,86.0
5725,50.74,100.0,100.0,100.0,85.5
5750,48.53,100.0,100.0,100.0,85.0
5775,47.06,100.0,100.0,100.0,84.5
5800,44.85,100.0,100.0,100.0,84.0
5825,41.91,100.0,100.0,100.0,83.5
5850,39.71,100.0,100.0,100.0,83.0
5875,38.24,100.0,100.0,100.0,82.5
5900,36.03,100.0,100.0,100.0,82.0
5925,33.09,100.0,100.0,100.0,81.5
5950,30.88,100.0,100.0,100.0,81.0
5975,30.15,100.0,100.0,100.0,80.5
6000,29.41,100.0,100.0,0.0,80.0
6025,28.68,100.0,100.0,0.0,79.5
6050,27.94,100.0,100.0,0.0,79.0
6075,25.74,100.0,100.0,0.0,78.5
6100,25.0,100.0,100.0,0.0,78.0
6125,22.06,100.0,100.0,0.0,77.5
6150,19.12,100.0,100.0,0.0,77.0
6175,18.38,100.0,100.0,0.0,76.5
6200,16.18,100.0,100.0,0.0,76.0
6225,14.71,100.0,100.0,0.0,75.5
6250,13.24,100.0,100.0,0.0,75.0
6275,13.24,100.0,100.0,0.0,74.5
6300,11.76,100.0,100.0,0.0,74.0
6325,11.03,100.0,100.0,0.0,73.5
6350,9.56,100.0,100.0,0.0,73.0
6375,8.09,100.0,100.0,0.0,72.5
6400,5.88,100.0,100.0,0.0,72.0
6425,3.68,100.0,100.0,0.0,71.5
6450,2.94,100.0,100.0,0.0,71.0
6475,2.94,100.0,100.0,0.0,70.5
6500,1.47,100.0,100.0,0.0,70.0
6525,1.47,100.0,100.0,0.0,69.5
6550,1.47,100.0,100.0,0.0,69.0
6575,0.74,100.0,100.0,0.0,68.5
6600,0.74,100.0,100.0,0.0,68.0
6625,0.74,100.0,100.0,0.0,67.5
6650,0.74,100.0,100.0,0.0,67.0
6675,0.74,100.0,100.0,0.0,66.5
6700,0.74,100.0,100.0,0.0,66.0
6725,0.74,100.0,100.0,0.0,65.5
6750,0.74,100.0,100.0,0.0,65.0
6775,0.74,100.0,100.0,0.0,64.5
6800,0.74,100.0,100.0,0.0,64.0
6825,0.74,100.0,100.0,0.0,63.5
6850,0.0,100.0,100.0,0.0,63.0
6875,0.0,100.0,100.0,0.0,62.5
6900,0.0,100.0,100.0,0.0,62.0
6925,0.0,100.0,100.0,0.0,61.5
6950,0.0,100.0,100.0,0.0,61.0
6975,0.0,100.0,100.0,0.0,60.5
7000,0.0,100.0,100.0,0.0,60.0
7025,0.0,100.0,100.0,0.0,59.5
7050,0.0,100.0,100.0,0.0,59.0
7075,0.0,100.0,100.0,0.0,58.5
7100,0.0,100.0,100.0,0.0,58.0
7125,0.0,100.0,100.0,0.0,57.5
7150,0.0,100.0,100.0,0.0,57.0
7175,0.0,100.0,100.0,0.0,56.5
7200,0.0,100.0,100.0,0.0,56.0
7225,0.0,100.0,100.0,0.0,55.5
7250,0.0,100.0,100.0,0.0,55.0
7275,0.0,100.0,100.0,0.0,54.5
7300,0.0,100.0,100.0,0.0,54.0
7325,0.0,100.0,100.0,0.0,53.5
7350,0.0,100.0,100.0,0.0,53.0
7375,0.0,100.0,100.0,0.0,52.5
7400,0.0,100.0,100.0,0.0,52.0
7425,0.0,100.0,100.0,0.0,51.5
7450,0.0,100.0,100.0,0.0,51.0
7475,0.0,100.0,100.0,0.0,50.5
7500,0.0,100.0,99.26,0.0,50.0
7525,0.0,100.0,99.26,0.0,49.5
7550,0.0,100.0,99.26,0.0,49.0
7575,0.0,100.0,99.26,0.0,48.5
7600,0.0,100.0,99.26,0.0,48.0
7625,0.0,100.0,99.26,0.0,47.5
7650,0.0,100.0,99.26,0.0,47.0
7675,0.0,100.0,99.26,0.0,46.5
7700,0.0,100.0,99.26,0.0,46.0
7725,0.0,100.0,99.26,0.0,45.5
7750,0.0,100.0,99.26,0.0,45.0
7775,0.0,100.0,99.26,0.0,44.5
7800,0.0,100.0,99.26,0.0,44.0
7825,0.0,100.0,99.26,0.0,43.5
7850,0.0,100.0,99.26,0.0,43.0
7875,0.0,100.0,99.26,0.0,42.5
7900,0.0,100.0,99.26,0.0,42.0
7925,0.0,100.0,99.26,0.0,41.5
7950,0.0,100.0,99.26,0.0,41.0
7975,0.0,100.0,99.26,0.0,40.5
8000,0.0,100.0,99.26,0.0,40.0
8025,0.0,100.0,99.26,0.0,39.5
8050,0.0,100.0,99.26,0.0,39.0
8075,0.0,100.0,99.26,0.0,38.5
8100,0.0,100.0,99.26,0.0,38.0
8125,0.0,100.0,99.26,0.0,37.5
8150,0.0,100.0,99.26,0.0,37.0
8175,0.0,100.0,99.26,0.0,36.5
8200,0.0,100.0,99.26,0.0,36.0
8225,0.0,100.0,99.26,0.0,35.5
8250,0.0,100.0,99.26,0.0,35.0
8275,0.0,100.0,99.26,0.0,34.5
8300,0.0,100.0,99.26,0.0,34.0
8325,0.0,100.0,99.26,0.0,33.5
8350,0.0,100.0,99.26,0.0,33.0
8375,0.0,100.0,99.26,0.0,32.5
8400,0.0,100.0,99.26,0.0,32.0
8425,0.0,100.0,99.26,0.0,31.5
8450,0.0,100.0,99.26,0.0,31.0
8475,0.0,100.0,99.26,0.0,30.5
8500,0.0,100.0,48.53,0.0,30.0
8525,0.0,100.0,48.53,0.0,29.5
8550,0.0,100.0,48.53,0.0,29.0
8575,0.0,100.0,48.53,0.0,28.5
8600,0.0,100.0,48.53,0.0,28.0
8625,0.0,100.0,48.53,0.0,27.5
8650,0.0,100.0,48.53,0.0,27.0
8675,0.0,100.0,48.53,0.0,26.5
8700,0.0,100.0,48.53,0.0,26.0
8725,0.0,100.0,48.53,0.0,25.5
8750,0.0,100.0,48.53,0.0,25.0
8775,0.0,100.0,48.53,0.0,24.5
8800,0.0,100.0,48.53,0.0,24.0
8825,0.0,100.0,48.53,0.0,23.5
8850,0.0,100.0,48.53,0.0,23.0
8875,0.0,100.0,48.53,0.0,22.5
8900,0.0,100.0,48.53,0.0,22.0
8925,0.0,100.0,48.53,0.0,21.5
8950,0.0,100.0,48.53,0.0,21.0
8975,0.0,100.0,48.53,0.0,20.5
9000,0.0,100.0,13.24,0.0,20.0
9025,0.0,100.0,13.24,0.0,19.5
9050,0.0,100.0,13.24,0.0,19.0
9075,0.0,100.0,13.24,0.0,18.5
9100,0.0,100.0,13.24,0.0,18.0
9125,0.0,100.0,13.24,0.0,17.5
9150,0.0,100.0,13.24,0.0,17.0
9175,0.0,100.0,13.24,0.0,16.5
9200,0.0,100.0,11.03,0.0,16.0
9225,0.0,100.0,11.03,0.0,15.5
9250,0.0,100.0,11.03,0.0,15.0
9275,0.0,100.0,11.03,0.0,14.5
9300,0.0,100.0,11.03,0.0,14.0
9325,0.0,100.0,11.03,0.0,13.5
9350,0.0,100.0,11.03,0.0,13.0
9375,0.0,100.0,11.03,0.0,12.5
9400,0.0,100.0,11.03,0.0,12.0
9425,0.0,100.0,11.03,0.0,11.5
9450,0.0,100.0,11.03,0.0,11.0
9475,0.0,100.0,11.03,0.0,10.5
9500,0.0,100.0,0.0,0.0,10.0
9525,0.0,100.0,0.0,0.0,9.5
9550,0.0,100.0,0.0,0.0,9.0
9575,0.0,100.0,0.0,0.0,8.5
9600,0.0,99.26,0.0,0.0,8.0
9625,0.0,99.26,0.0,0.0,7.5
9650,0.0,99.26,0.0,0.0,7.0
9675,0.0,99.26,0.0,0.0,6.5
9700,0.0,97.06,0.0,0.0,6.0
9725,0.0,95.59,0.0,0.0,5.5
9750,0.0,94.85,0.0,0.0,5.0
9775,0.0,92.65,0.0,0.0,4.5
9800,0.0,88.97,0.0,0.0,4.0
9825,0.0,83.82,0.0,0.0,3.5
9850,0.0,74.26,0.0,0.0,3.0
9875,0.0,69.12,0.0,0.0,2.5
9900,0.0,63.97,0.0,0.0,2.0
9925,0.0,56.62,0.0,0.0,1.5
9950,0.0,36.76,0.0,0.0,1.0
9975,0.0,22.06,0.0,0.0,0.5
10000,0.0,0.0,0.0,0.0,0.0
