market,regime,run,cap_bps,breach_rate,accepted,rejected,staleness_days,cumulative_return,annualised_return,annualised_vol,sharpe_rf0,max_drawdown,mean_turnover,exec_lending_bps,excess_bps
realised,hold,Agent 1: rule-based,5000,1.0,0,136,68.5,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,project,Agent 1: rule-based,5000,1.0,136,0,0.0,-0.031316,-0.081847,0.276131,-0.1683,0.195441,0.0,5000,0.0
realised,hold,Agent 1: rule-based,5100,0.9779,3,133,35.6,-0.032006,-0.083602,0.276196,-0.1748,0.195846,5.7e-05,5001,-6.9
realised,project,Agent 1: rule-based,5100,0.9779,136,0,0.0,-0.033844,-0.088262,0.281217,-0.1842,0.198947,0.000593,4903,-25.3
realised,hold,Agent 1: rule-based,5200,0.9191,11,125,32.66,-0.032837,-0.08571,0.276784,-0.1818,0.195868,0.000814,4976,-15.2
realised,project,Agent 1: rule-based,5200,0.9191,136,0,0.0,-0.036195,-0.094204,0.286337,-0.1977,0.20243,0.001231,4807,-48.8
realised,hold,Agent 1: rule-based,5300,0.875,17,119,23.59,-0.039818,-0.103314,0.28123,-0.2398,0.202702,0.001335,4909,-85.0
realised,project,Agent 1: rule-based,5300,0.875,136,0,0.0,-0.038011,-0.09878,0.291045,-0.2066,0.205136,0.002025,4717,-66.9
realised,hold,Agent 1: rule-based,5400,0.8015,27,109,22.55,-0.040798,-0.105768,0.281411,-0.2485,0.202487,0.001933,4898,-94.8
realised,project,Agent 1: rule-based,5400,0.8015,136,0,0.0,-0.039104,-0.101523,0.295521,-0.209,0.207292,0.003218,4633,-77.9
realised,hold,Agent 1: rule-based,5500,0.7059,40,96,21.51,-0.042842,-0.110875,0.285141,-0.2605,0.206774,0.003888,4850,-115.3
realised,project,Agent 1: rule-based,5500,0.7059,136,0,0.0,-0.039539,-0.102615,0.299741,-0.206,0.209005,0.00436,4558,-82.2
realised,hold,Agent 1: rule-based,5600,0.625,51,85,11.35,-0.035362,-0.092103,0.287828,-0.1877,0.208539,0.004909,4751,-40.5
realised,project,Agent 1: rule-based,5600,0.625,136,0,0.0,-0.038482,-0.099963,0.303492,-0.1908,0.20972,0.005574,4491,-71.7
realised,hold,Agent 1: rule-based,5700,0.5294,64,72,10.4,-0.035039,-0.091287,0.289934,-0.1815,0.208864,0.005988,4708,-37.2
realised,project,Agent 1: rule-based,5700,0.5294,136,0,0.0,-0.038285,-0.099468,0.306929,-0.1838,0.210331,0.006962,4432,-69.7
realised,hold,Agent 1: rule-based,5800,0.4485,75,61,9.84,-0.037355,-0.097129,0.290884,-0.2009,0.210069,0.007524,4690,-60.4
realised,project,Agent 1: rule-based,5800,0.4485,136,0,0.0,-0.038169,-0.099175,0.309831,-0.1784,0.210599,0.008484,4383,-68.5
realised,hold,Agent 1: rule-based,5900,0.3603,87,49,3.35,-0.038696,-0.1005,0.309399,-0.1836,0.210069,0.008625,4388,-73.8
realised,project,Agent 1: rule-based,5900,0.3603,136,0,0.0,-0.038895,-0.101,0.312376,-0.1807,0.210846,0.009444,4343,-75.8
realised,hold,Agent 1: rule-based,6000,0.2941,96,40,3.09,-0.038627,-0.100327,0.311529,-0.1798,0.210069,0.008971,4358,-73.1
realised,project,Agent 1: rule-based,6000,0.2941,136,0,0.0,-0.039276,-0.101955,0.314386,-0.1809,0.211094,0.010356,4311,-79.6
realised,hold,Agent 1: rule-based,6100,0.25,102,34,2.38,-0.039206,-0.101781,0.314217,-0.1806,0.210069,0.009578,4307,-78.9
realised,project,Agent 1: rule-based,6100,0.25,136,0,0.0,-0.039261,-0.101919,0.316196,-0.1781,0.211342,0.010953,4283,-79.4
realised,hold,Agent 1: rule-based,6200,0.1618,114,22,1.43,-0.039174,-0.101701,0.316564,-0.1768,0.211554,0.011437,4279,-78.6
realised,project,Agent 1: rule-based,6200,0.1618,136,0,0.0,-0.03965,-0.102894,0.31757,-0.1793,0.211554,0.011585,4263,-83.3
realised,hold,Agent 1: rule-based,6300,0.1176,120,16,0.41,-0.04114,-0.106624,0.317523,-0.1917,0.211554,0.01175,4266,-98.2
realised,project,Agent 1: rule-based,6300,0.1176,136,0,0.0,-0.040455,-0.104911,0.318402,-0.1847,0.211554,0.012179,4249,-91.4
realised,hold,Agent 1: rule-based,6400,0.0588,128,8,0.11,-0.041236,-0.106865,0.318651,-0.1907,0.211554,0.012349,4253,-99.2
realised,project,Agent 1: rule-based,6400,0.0588,136,0,0.0,-0.040913,-0.106056,0.319024,-0.1875,0.211554,0.012796,4240,-96.0
realised,hold,Agent 1: rule-based,6500,0.0147,134,2,0.01,-0.041558,-0.10767,0.319152,-0.1926,0.211554,0.012737,4242,-102.4
realised,project,Agent 1: rule-based,6500,0.0147,136,0,0.0,-0.040519,-0.10507,0.319243,-0.1839,0.211554,0.013291,4237,-92.0
realised,hold,Agent 1: rule-based,6600,0.0074,135,1,0.01,-0.041088,-0.106494,0.319181,-0.1887,0.211554,0.012844,4239,-97.7
realised,project,Agent 1: rule-based,6600,0.0074,136,0,0.0,-0.040284,-0.104482,0.319266,-0.1819,0.211554,0.013531,4235,-89.7
realised,hold,Agent 1: rule-based,6700,0.0074,135,1,0.01,-0.041088,-0.106494,0.319181,-0.1887,0.211554,0.012844,4239,-97.7
realised,project,Agent 1: rule-based,6700,0.0074,136,0,0.0,-0.040112,-0.104051,0.319285,-0.1805,0.211554,0.013678,4235,-88.0
realised,hold,Agent 1: rule-based,6800,0.0074,135,1,0.01,-0.041088,-0.106494,0.319181,-0.1887,0.211554,0.012844,4239,-97.7
realised,project,Agent 1: rule-based,6800,0.0074,136,0,0.0,-0.03994,-0.10362,0.319304,-0.179,0.211554,0.013825,4234,-86.2
realised,hold,Agent 1: rule-based,6900,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,6900,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,7000,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,7000,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,7100,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,7100,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,7200,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,7200,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,7300,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,7300,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,7400,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,7400,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,7500,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,7500,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,7600,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,7600,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,7700,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,7700,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,hold,Agent 1: rule-based,7800,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
realised,project,Agent 1: rule-based,7800,0.0,136,0,0.0,-0.039879,-0.103469,0.319311,-0.1785,0.211554,0.013876,4234,-85.6
